자전거번호,대여 대여소번호,대여 대여소명,from_lat,from_lng,반납일시,반납대여소번호,반납대여소명,to_lat,to_lng
SPB-32945,795,양천 해누리타운,37.51584244,126.8641129,2022.12.1 0:28,797,목동아파트 1422동 1434동 사잇길,37.51515579,126.8724899
SPB-30502,785,"양천구청, 보건소 사잇길",37.51732635,126.8663025,2022.12.1 0:52,796,목동아파트 14단지 B상가 앞,37.5146637,126.8719406
SPB-59434,788,양천구청역 2번출구 옆,37.51228714,126.8652802,2022.12.1 0:22,788,양천구청역 2번출구 옆,37.51228714,126.8652802
SPB-59434,788,양천구청역 2번출구 옆,37.51228714,126.8652802,2022.12.1 0:23,788,양천구청역 2번출구 옆,37.51228714,126.8652802
SPB-59434,788,양천구청역 2번출구 옆,37.51228714,126.8652802,2022.12.1 0:31,788,양천구청역 2번출구 옆,37.51228714,126.8652802
SPB-51878,794,양천문화회관,37.51686478,126.8629608,2022.12.1 1:34,770,목동역5번출구 교통정보센터 앞,37.52571487,126.8648682
SPB-52358,794,양천문화회관,37.51686478,126.8629608,2022.12.1 4:43,767,신정숲속마을아파트,37.50574493,126.8363113
SPB-45248,794,양천문화회관,37.51686478,126.8629608,2022.12.1 5:30,796,목동아파트 14단지 B상가 앞,37.5146637,126.8719406
SPB-62899,787,양천아파트 입구,37.50790405,126.862648,2022.12.1 5:54,795,양천 해누리타운,37.51584244,126.8641129
SPB-49140,787,양천아파트 입구,37.50790405,126.862648,2022.12.1 6:02,788,양천구청역 2번출구 옆,37.51228714,126.8652802
SPB-57442,3125,연희파크푸르지오아파트 앞,37.57564163,126.9278259,2022.12.1 3:22,3010,홍대입구역 3번출구,37.5582962,126.9253845
SPB-47747,3214,영등포 푸르지오,37.51202393,126.9010544,2022.12.1 5:21,3219,영등포역 1번출구,37.5148468,126.9077301
SPB-64286,3214,영등포 푸르지오,37.51202393,126.9010544,2022.12.1 6:19,295,영등포공원 분수대 앞,37.51481247,126.911705
SPB-64286,3219,영등포역 1번출구,37.5148468,126.9077301,2022.12.1 0:24,3214,영등포 푸르지오,37.51202393,126.9010544
SPB-31725,2653,올림픽공원사거리(선수촌아파트),37.51202011,127.1286469,2022.12.1 1:07,1075,천동초교 삼거리,37.54136276,127.1371841
SPB-56189,2653,올림픽공원사거리(선수촌아파트),37.51202011,127.1286469,2022.12.1 5:27,2632,석촌고분역 2번 출구,37.50264359,127.0973969
SPB-46357,2529,우리은행 방배동지점 앞,37.48991776,126.9920807,2022.12.1 5:49,2222,사당역 12번출구 뒤,37.47806931,126.9820328
SPB-50163,1868,우리은행 시흥남자동화점 앞,37.44785309,126.9028854,2022.12.1 5:59,1869,롯데캐슬골드파크3차 301동 앞,37.45901871,126.8967133
SPB-57695,2903,월계초안아파트 1단지,37.63372803,127.0443649,2022.12.1 5:55,1569,수유역2번출구,37.63796997,127.0259018
SPB-53889,491,월드컵파크 4단지,37.57597733,126.8880692,2022.12.1 2:19,491,월드컵파크 4단지,37.57597733,126.8880692
SPB-65086,2230,이수역 4번 출구,37.4858284,126.9826279,2022.12.1 1:28,2095,경문고등학교 앞,37.49150085,126.9824066
SPB-63491,3432,종로2가 사거리,37.56999207,126.9883423,2022.12.1 2:29,3415,동대문역6번출구,37.57146072,127.010788
SPB-30286,3432,종로2가 사거리,37.56999207,126.9883423,2022.12.1 2:58,3412,세운상가,37.5703125,126.994545
SPB-65588,3410,종로3가역 8번출구,37.5724678,126.99189,2022.12.1 1:21,481,신당역 10번 출구,37.56703186,127.0157929
SPB-33219,3410,종로3가역 8번출구,37.5724678,126.99189,2022.12.1 3:29,3410,종로3가역 8번출구,37.5724678,126.99189
SPB-33219,3410,종로3가역 8번출구,37.5724678,126.99189,2022.12.1 4:10,3410,종로3가역 8번출구,37.5724678,126.99189
SPB-65850,3413,종로플레이스,37.57320023,126.997963,2022.12.1 1:47,3432,종로2가 사거리,37.56999207,126.9883423
SPB-57082,3578,중곡동 파크웨이빌딩,37.55500793,127.0858154,2022.12.1 2:08,668,서울축산농협(장안지점),37.56799698,127.068779
SPB-48580,3578,중곡동 파크웨이빌딩,37.55500793,127.0858154,2022.12.1 4:06,3578,중곡동 파크웨이빌딩,37.55500793,127.0858154
SPB-48580,3578,중곡동 파크웨이빌딩,37.55500793,127.0858154,2022.12.1 4:25,3560,성동구 견인차량 보관소 앞,37.56370926,127.0564499
SPB-65039,4841,중화수경공원,37.60318375,127.0741348,2022.12.1 3:49,4841,중화수경공원,37.60318375,127.0741348
SPB-48235,3417,창신3동주민센터,37.57772446,127.0152512,2022.12.1 2:49,3416,동묘앞역 6번출구,37.5715332,127.0156174
SPB-53700,3418,창신역2번 출구,37.57998657,127.0150604,2022.12.1 3:03,3417,창신3동주민센터,37.57772446,127.0152512
SPB-50873,1075,천동초교 삼거리,37.54136276,127.1371841,2022.12.1 5:38,1075,천동초교 삼거리,37.54136276,127.1371841
SPB-65090,2818,천왕이펜하우스3단지 앞,37.48223877,126.8385315,2022.12.1 1:12,1981,천왕이펜하우스5단지 앞,37.47989655,126.8403702
SPB-48338,669,청계한신휴플러스앞 삼거리,37.57214737,127.0446091,2022.12.1 3:00,669,청계한신휴플러스앞 삼거리,37.57214737,127.0446091
SPB-51342,2825,초롱타운 앞,37.49545288,126.880394,2022.12.1 0:45,2825,초롱타운 앞,37.49545288,126.880394
SPB-34483,2707,한강아파트,37.57036972,126.8444138,2022.12.1 1:19,2710,라이품 공영주차장 앞,37.57131958,126.8416672
SPB-54194,3545,한양대역 1번출구,37.55657959,127.0433579,2022.12.1 0:56,3559,성동구민종합체육센터 앞,37.54590988,127.0446014
SPB-43936,1067,한영중고앞사거리,37.54903412,127.1560516,2022.12.1 0:09,1067,한영중고앞사거리,37.54903412,127.1560516
SPB-51606,1067,한영중고앞사거리,37.54903412,127.1560516,2022.12.1 0:17,1068,명일파출소,37.5536499,127.1562271
SPB-43936,1067,한영중고앞사거리,37.54903412,127.1560516,2022.12.1 2:03,1067,한영중고앞사거리,37.54903412,127.1560516
SPB-43936,1067,한영중고앞사거리,37.54903412,127.1560516,2022.12.1 6:32,1067,한영중고앞사거리,37.54903412,127.1560516
SPB-34276,2528,함지박 사거리,37.4937706,126.9900665,2022.12.1 0:27,2229,로고스교회 맞은 편,37.48701096,126.9849625
SPB-45388,497,합정동주민센터 앞,37.551754,126.9123001,2022.12.1 4:31,3009,서교동사거리(신),37.55583954,126.920433
SPB-52230,2648,헬리오시티 112동 앞,37.49469757,127.1046448,2022.12.1 1:30,2533,한가람미술관 앞,37.48087692,127.0145264
SPB-50217,3975,현대시티아울렛 가산,37.47739792,126.8887787,2022.12.1 5:18,1867,대륭포스트타워6차 앞,37.48088837,126.8838043
SPB-35377,2704,홈플러스(강서점),37.55852127,126.8540115,2022.12.1 0:40,2713,우장초등학교 앞,37.54853439,126.8466721
SPB-62764,3010,홍대입구역 3번출구,37.5582962,126.9253845,2022.12.1 1:48,3125,연희파크푸르지오아파트 앞,37.57564163,126.9278259
SPB-65747,3010,홍대입구역 3번출구,37.5582962,126.9253845,2022.12.1 1:53,3009,서교동사거리(신),37.55583954,126.920433
SPB-56468,3010,홍대입구역 3번출구,37.5582962,126.9253845,2022.12.1 3:31,3009,서교동사거리(신),37.55583954,126.920433
SPB-56637,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 0:20,3579,광진 캠퍼스시티,37.54788971,127.0674515
SPB-35381,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 0:52,3579,광진 캠퍼스시티,37.54788971,127.0674515
SPB-58640,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 0:59,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068
SPB-63385,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 1:45,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068
SPB-59288,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 3:02,3559,성동구민종합체육센터 앞,37.54590988,127.0446014
SPB-44133,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 5:02,3579,광진 캠퍼스시티,37.54788971,127.0674515
SPB-59780,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068,2022.12.1 6:31,3571,화양 APT(횡단보도 옆),37.54434967,127.0654068
SPB-59336,3582,화양동 우체국,37.54798889,127.0695038,2022.12.1 0:40,3582,화양동 우체국,37.54798889,127.0695038
SPB-59336,3582,화양동 우체국,37.54798889,127.0695038,2022.12.1 4:37,2639,석촌역 8번출구,37.50550461,127.106575
SPB-52019,769,CBS방송국 앞,37.52785492,126.8746719,2022.12.1 6:23,3205,문래현대2차,37.5202179,126.882164
SPB-36158,475,DDP 패션몰,37.56764984,127.0118103,2022.12.1 0:19,475,DDP 패션몰,37.56764984,127.0118103
SPB-65206,296,KT플라자 영등포점,37.52630234,126.9053803,2022.12.1 2:32,296,KT플라자 영등포점,37.52630234,126.9053803
SPB-55957,2549,LH 서초 4단지 403동,37.45924759,127.0239029,2022.12.1 5:59,2549,LH 서초 4단지 403동,37.45924759,127.0239029
SPB-31562,3007,MBC 앞,37.58194733,126.8902969,2022.12.1 0:00,3007,MBC 앞,37.58194733,126.8902969
